zone,tract,area
0,G3700630000600,1.6590299297028513e-7
0,G3700630000500,2.4634993142621496e-6
0,G3700630001501,2.1988857580557297e-6
1,G3700630000700,4.811582119790235e-8
1,G3700630000600,2.0690238346203328e-7
1,G3700630000500,5.188725738741243e-5
2,G3700630000301,4.192090416417785e-5
2,G3700630000402,9.570803769314888e-5
2,G3700630000401,1.1814740902020181e-5
2,G3700630000302,1.9006887472258666e-6
2,G3700630001503,3.3313941348231466e-7
3,G3700630000402,1.6107009600791205e-8
3,G3700630000401,3.293694701193565e-5
4,G3700630000301,6.264071987242676e-6
4,G3700630000302,6.631568778853773e-5
4,G3700630002200,1.2550956347051307e-6
5,G3700630000200,2.4421988538222764e-5
5,G3700630000101,6.290506940047032e-9
6,G3700630000700,9.280299855972407e-5
7,G3700630000401,3.2821282622042085e-5
8,G3700630000402,5.9066670146212975e-6
8,G3700630000401,7.4248034904085555e-6
9,G3700630000302,2.826981478292868e-7
9,G3700630000200,2.7806321605086604e-5
9,G3700630002200,6.545399197604702e-7
10,G3700630001100,7.10986094845657e-6
10,G3700630002200,2.951383734495953e-6
11,G3700630001001,2.946912709603593e-6
12,G3700630000600,1.0594069660586909e-5
13,G3700630000700,4.089163010010442e-5
13,G3700630000500,4.0086554847008106e-7
14,G3700630000700,5.627391852247348e-7
14,G3700630000600,1.9699945234080293e-5
16,G3700630001100,2.3791632481771722e-5
16,G3700630001002,4.620380334723847e-5
16,G3700630000900,3.5211563743160266e-5
16,G3700630000200,8.34504212221343e-6
16,G3700630001001,7.990840443707997e-5
16,G3700630002200,5.848421046348837e-5
17,G3700630000301,6.598047824440029e-5
17,G3700630001705,1.4708949735791462e-7
17,G3700630000401,2.764630333637954e-5
17,G3700630000102,1.4039893499892385e-4
17,G3700630000302,3.0726352954321874e-5
17,G3700630000200,8.616569822924619e-7
17,G3700630000101,8.390146255063552e-6
18,G3700630000700,3.0466973520501283e-5
18,G3700630000600,6.090617292308408e-6
18,G3700630000500,8.096685276450911e-5
18,G3700630001501,1.2548791350995533e-6
19,G3700630000700,2.0369354159398197e-5
19,G3700630000600,1.1905398650310895e-4
19,G3700630000500,1.5924920658115163e-5
20,G3700630000700,3.495155162180204e-5
21,G3700630001303,2.911303550959794e-5
21,G3700630001301,2.5752683638439024e-5
21,G3700630002300,3.201411366711318e-6
22,G3700630000301,2.4071714805358144e-5
23,G3700630001002,1.638486135815019e-5
23,G3700630000900,6.117704785674686e-5
24,G3700630001100,8.674076759114817e-5
24,G3700630001001,5.336224534890099e-5
25,G3700630001502,3.6823803646614353e-5
25,G3700630000500,5.234723039419674e-6
25,G3700630001501,3.6302685936510317e-6
26,G3700630000700,2.0485099490704636e-7
26,G3700630001100,7.922640404371525e-8
26,G3700630001400,7.642226046008775e-5
26,G3700630001001,3.596429778431393e-8
26,G3700630001303,2.826957822774171e-5
26,G3700630001301,4.63986440040424e-5
26,G3700630002300,1.0930523101206099e-4
27,G3700630001502,4.5365897776703355e-6
27,G3700630000402,2.7850923885133186e-6
27,G3700630000401,1.6228139240904388e-5
28,G3700630001802,1.0048477173855666e-5
28,G3700630000700,1.0733919394705015e-5
28,G3700630001400,9.133794056338427e-5
28,G3700630001002,1.300039105805151e-4
28,G3700630000900,3.7591947846065985e-6
28,G3700630000200,9.76896157754799e-5
28,G3700630001001,6.954939286250537e-5
28,G3700630001303,4.1593163897648986e-5
28,G3700630001301,7.878819360938814e-7
28,G3700630002009,2.2491347372780584e-5
28,G3700630001304,4.353004424213388e-6
28,G3700630000101,7.259435857675092e-5
29,G3700630001001,8.701177033946334e-6
30,G3700630001502,2.5946583787558303e-6
30,G3700630000600,7.65957536881871e-6
30,G3700630000500,4.575301204146482e-5
30,G3700630001501,1.959151396520798e-5
31,G3700630001502,8.933666226751876e-7
31,G3700630000700,1.7274699717726205e-5
31,G3700630001100,2.190394718305309e-5
31,G3700630001400,6.159603652199122e-7
31,G3700630000402,2.4810156118074473e-5
31,G3700630000500,9.76655143988474e-6
31,G3700630000401,3.2283662331817406e-8
31,G3700630000302,2.6101949161357135e-6
31,G3700630000200,1.6492310606258585e-6
31,G3700630001001,1.8091208303163633e-6
31,G3700630001503,3.7461381886571164e-6
31,G3700630002200,8.065950129802355e-5
31,G3700630002300,1.0330609403227543e-5
15,G3700630000301,9.281019439066363e-7
15,G3700630000102,5.5607678196305995e-6
15,G3700630000302,6.925715967132933e-5
15,G3700630000900,2.343285470873111e-6
15,G3700630000200,1.0079082902150985e-4
15,G3700630000101,4.774367094645872e-5
15,G3700630002200,4.206847978807682e-6
