long,lat,order,hole,piece,id,group,oid_,name,folderpath,symbolid,altmode,base,clamped,extruded,snippet,popupinfo,shape_leng,shape_area,label,cartodb_id,created_at,updated_at,white_prop_1970,black_prop_1970,white_prop_1980,black_prop_1980,white_prop_1990,black_prop_1990,white_prop_2000,black_prop_2000,white_prop_2010,black_prop_2010
-78.93087050199995,35.99985116000005,1,FALSE,1,0,0.1,0,A4,Durham.kml/Durham/Area A,0,0,0,-1,0,NA,NA,0.00933483486,4.82829e-6,A,4,2015-08-07,2015-08-07,0.7728671012788383,0.21549591892705147,0.5933317711813236,0.20348405228624644,0.6323271543004594,0.3159327028542648,0.45880875270911037,0.37115048368932085,0.4027237197737034,0.3191979766024122
-78.93082312099995,36.002946947000055,2,FALSE,1,0,0.1,0,A4,Durham.kml/Durham/Area A,0,0,0,-1,0,NA,NA,0.00933483486,4.82829e-6,A,4,2015-08-07,2015-08-07,0.7728671012788383,0.21549591892705147,0.5933317711813236,0.20348405228624644,0.6323271543004594,0.3159327028542648,0.45880875270911037,0.37115048368932085,0.4027237197737034,0.3191979766024122
-78.92927846099997,36.00292453600008,3,FALSE,1,0,0.1,0,A4,Durham.kml/Durham/Area A,0,0,0,-1,0,NA,NA,0.00933483486,4.82829e-6,A,4,2015-08-07,2015-08-07,0.7728671012788383,0.21549591892705147,0.5933317711813236,0.20348405228624644,0.6323271543004594,0.3159327028542648,0.45880875270911037,0.37115048368932085,0.4027237197737034,0.3191979766024122
-78.92932018799996,35.99978277200006,4,FALSE,1,0,0.1,0,A4,Durham.kml/Durham/Area A,0,0,0,-1,0,NA,NA,0.00933483486,4.82829e-6,A,4,2015-08-07,2015-08-07,0.7728671012788383,0.21549591892705147,0.5933317711813236,0.20348405228624644,0.6323271543004594,0.3159327028542648,0.45880875270911037,0.37115048368932085,0.4027237197737034,0.3191979766024122
-78.93087050199995,35.99985116000005,5,FALSE,1,0,0.1,0,A4,Durham.kml/Durham/Area A,0,0,0,-1,0,NA,NA,0.00933483486,4.82829e-6,A,4,2015-08-07,2015-08-07,0.7728671012788383,0.21549591892705147,0.5933317711813236,0.20348405228624644,0.6323271543004594,0.3159327028542648,0.45880875270911037,0.37115048368932085,0.4027237197737034,0.3191979766024122
-78.92181460099994,35.99417347800005,1,FALSE,1,1,1.1,0,D5,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04752966711,5.214226e-5,D,23,2015-08-07,2015-08-07,0.4305242829980787,0.5655481217519813,0.3761807740051478,0.4156441871691608,0.3716166533237633,0.5946948325993752,0.27785888843730144,0.5596318459025632,0.301354637276667,0.45798218818658726
-78.92333181499998,35.99432788800004,2,FALSE,1,1,1.1,0,D5,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04752966711,5.214226e-5,D,23,2015-08-07,2015-08-07,0.4305242829980787,0.5655481217519813,0.3761807740051478,0.4156441871691608,0.3716166533237633,0.5946948325993752,0.27785888843730144,0.5596318459025632,0.301354637276667,0.45798218818658726
-78.92282317699994,35.99548658100008,3,FALSE,1,1,1.1,0,D5,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04752966711,5.214226e-5,D,23,2015-08-07,2015-08-07,0.4305242829980787,0.5655481217519813,0.3761807740051478,0.4156441871691608,0.3716166533237633,0.5946948325993752,0.27785888843730144,0.5596318459025632,0.301354637276667,0.45798218818658726
-78.92132180699997,35.99533101100007,4,FALSE,1,1,1.1,0,D5,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04752966711,5.214226e-5,D,23,2015-08-07,2015-08-07,0.4305242829980787,0.5655481217519813,0.3761807740051478,0.4156441871691608,0.3716166533237633,0.5946948325993752,0.27785888843730144,0.5596318459025632,0.301354637276667,0.45798218818658726
-78.92006389299996,35.99670769900007,5,FALSE,1,1,1.1,0,D5,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04752966711,5.214226e-5,D,23,2015-08-07,2015-08-07,0.4305242829980787,0.5655481217519813,0.3761807740051478,0.4156441871691608,0.3716166533237633,0.5946948325993752,0.27785888843730144,0.5596318459025632,0.301354637276667,0.45798218818658726
